common_name,date,prop_pop
Willet,2019-07-06,1.1949747253484266e-5
Willet,2019-07-13,1.3085484757112487e-5
Willet,2019-07-20,3.5702364892080836e-5
Willet,2019-07-27,4.5612359803722735e-5
Willet,2019-08-03,5.847098984823359e-5
Willet,2019-08-10,7.158732574942951e-5
Willet,2019-08-17,4.598754747132798e-5
Willet,2019-08-24,4.431134727458285e-5
Willet,2019-08-31,3.4984748433125346e-5
Willet,2019-09-07,3.476984402921555e-5
Willet,2019-09-14,2.312491602284341e-5
Willet,2019-09-21,1.2991423300646828e-5
Willet,2019-09-28,0
Willet,2019-10-05,0
Willet,2019-10-12,0
Willet,2019-10-19,0
Willet,2019-10-26,0
Willet,2019-11-02,0
Willet,2019-11-09,0
Willet,2019-11-16,0
Willet,2019-11-23,0
Willet,2019-11-30,0
Willet,2019-12-07,0
Willet,2019-12-14,0
Willet,2019-12-21,0
Willet,2019-12-28,0
Marbled Godwit,2019-01-04,0
Marbled Godwit,2019-01-11,0
Marbled Godwit,2019-01-18,0
Marbled Godwit,2019-01-25,0
Marbled Godwit,2019-02-01,0
Marbled Godwit,2019-02-08,0
Marbled Godwit,2019-02-15,0
Marbled Godwit,2019-02-22,0
Marbled Godwit,2019-03-01,0
Marbled Godwit,2019-03-08,0
Marbled Godwit,2019-03-15,0
Marbled Godwit,2019-03-22,0
Marbled Godwit,2019-03-29,0
Marbled Godwit,2019-04-05,6.94951583170019e-5
Marbled Godwit,2019-04-12,2.308567887697974e-4
Marbled Godwit,2019-04-19,6.301654725197024e-4
Marbled Godwit,2019-04-26,4.571866498523311e-4
Marbled Godwit,2019-05-03,2.649142156775925e-4
Marbled Godwit,2019-05-10,2.061992298786976e-4
Marbled Godwit,2019-05-17,1.0160994451907109e-4
Marbled Godwit,2019-05-24,2.3344283442506335e-5
Marbled Godwit,2019-05-31,7.081658772483268e-6
Marbled Godwit,2019-06-07,3.852435498134656e-6
Marbled Godwit,2019-06-14,7.0259048899219185e-6
Marbled Godwit,2019-06-21,1.931515299426464e-5
Marbled Godwit,2019-06-28,2.2986343978813078e-5
Marbled Godwit,2019-07-06,1.096909976018147e-5
Marbled Godwit,2019-07-13,7.046256092102006e-6
Marbled Godwit,2019-07-20,6.5348491822755114e-6
Marbled Godwit,2019-07-27,6.068181220021111e-6
Marbled Godwit,2019-08-03,7.557453498476325e-6
Marbled Godwit,2019-08-10,1.637608636385938e-5
Marbled Godwit,2019-08-17,2.589639423533287e-5
Marbled Godwit,2019-08-24,4.7939810793566105e-5
Marbled Godwit,2019-08-31,4.092662543773991e-5
Marbled Godwit,2019-09-07,2.840070083590317e-5
Marbled Godwit,2019-09-14,2.0952996252842533e-5
Marbled Godwit,2019-09-21,7.2686020258932405e-6
Marbled Godwit,2019-09-28,3.855901590504939e-6
Marbled Godwit,2019-10-05,2.662827842271916e-6
Marbled Godwit,2019-10-12,3.3530743921431426e-6
Marbled Godwit,2019-10-19,3.819728561332986e-6
Marbled Godwit,2019-10-26,0
Marbled Godwit,2019-11-02,0
Marbled Godwit,2019-11-09,0
Marbled Godwit,2019-11-16,0
Marbled Godwit,2019-11-23,0
Marbled Godwit,2019-11-30,0
Marbled Godwit,2019-12-07,0
Marbled Godwit,2019-12-14,0
Marbled Godwit,2019-12-21,0
Marbled Godwit,2019-12-28,0
Sanderling,2019-01-04,0
Sanderling,2019-01-11,0
Sanderling,2019-01-18,0
Sanderling,2019-01-25,0
Sanderling,2019-02-01,0
Sanderling,2019-02-08,0
Sanderling,2019-02-15,0
Sanderling,2019-02-22,0
Sanderling,2019-03-01,0
Sanderling,2019-03-08,0
Sanderling,2019-03-15,0
Sanderling,2019-03-22,0
Sanderling,2019-03-29,0
Sanderling,2019-04-05,0
Sanderling,2019-04-12,2.8675060994950364e-7
Sanderling,2019-04-19,3.397401648266711e-6
Sanderling,2019-04-26,1.7317768537066178e-5
Sanderling,2019-05-03,3.43893089087026e-5
Sanderling,2019-05-10,6.331348760017329e-5
Sanderling,2019-05-17,7.193579701367435e-5
Sanderling,2019-05-24,6.797450835552209e-5
Sanderling,2019-05-31,6.251845873349563e-5
Sanderling,2019-06-07,8.394524560890662e-6
Sanderling,2019-06-14,4.131984090726894e-7
Sanderling,2019-06-21,0
Sanderling,2019-06-28,0
Sanderling,2019-07-06,0
Sanderling,2019-07-13,8.387586316800806e-6
Sanderling,2019-07-20,1.4777101994770425e-5
Sanderling,2019-07-27,2.088976870738608e-5
Sanderling,2019-08-03,3.7738919815256524e-5
Sanderling,2019-08-10,3.7519232734324154e-5
Sanderling,2019-08-17,4.02442138477643e-5
Sanderling,2019-08-24,4.096123362312453e-5
Sanderling,2019-08-31,3.879766092999787e-5
Sanderling,2019-09-07,4.7352947075570864e-5
Sanderling,2019-09-14,4.679762083806841e-5
Sanderling,2019-09-21,3.9627888705379624e-5
Sanderling,2019-09-28,3.091978729334766e-5
Sanderling,2019-10-05,1.402250884529567e-5
Sanderling,2019-10-12,9.711713368649858e-6
Sanderling,2019-10-19,6.18994530483778e-6
Sanderling,2019-10-26,0
Sanderling,2019-11-02,0
Sanderling,2019-11-09,0
Sanderling,2019-11-16,1.1210340099106602e-7
Sanderling,2019-11-23,0
Sanderling,2019-11-30,0
Sanderling,2019-12-07,0
Sanderling,2019-12-14,0
Sanderling,2019-12-21,0
Sanderling,2019-12-28,0
Semipalmated Sandpiper,2019-01-04,0
Semipalmated Sandpiper,2019-01-11,0
Semipalmated Sandpiper,2019-01-18,0
Semipalmated Sandpiper,2019-01-25,0
Semipalmated Sandpiper,2019-02-01,0
Semipalmated Sandpiper,2019-02-08,0
Semipalmated Sandpiper,2019-02-15,0
Semipalmated Sandpiper,2019-02-22,0
Semipalmated Sandpiper,2019-03-01,0
Semipalmated Sandpiper,2019-03-08,0
Semipalmated Sandpiper,2019-03-15,0
Semipalmated Sandpiper,2019-03-22,9.057327080682214e-6
Semipalmated Sandpiper,2019-03-29,4.360838145274092e-5
Semipalmated Sandpiper,2019-04-05,2.906286227681244e-4
Semipalmated Sandpiper,2019-04-12,0.0018462525025933086
Semipalmated Sandpiper,2019-04-19,0.009925628994611344
Semipalmated Sandpiper,2019-04-26,0.026027215883858104
